# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  64 0.635 199.38 1.2637
  65 0.645 200.26 1.27067
  66 0.655 211.9 1.34465
  67 0.665 191.85 1.21721
  68 0.675 142.13 0.8999
  69 0.685 35.74 0.226971
  70 0.695 3.07 0.0198431
  71 0.705 0.15 0.0010378
  72 0.715 0 0
  73 0.725 0 0
  74 0.735 1.13 0.00740412
  75 0.745 4.38 0.0275267
  76 0.755 0.49 0.00313141
  77 0.765 0 0
  78 0.775 2.32 0.0144817
  79 0.785 1.77 0.0114008
  80 0.795 4.91 0.0312108
  81 0.805 0.46 0.0029756
  82 0.815 4.75 0.0300694
  83 0.825 0.79 0.00501728
  84 0.835 0 0
  85 0.845 1.14 0.00726632
  86 0.855 1.23 0.00780276
  87 0.865 5.32 0.033461
  88 0.875 1.31 0.00856323
  89 0.885 0 0
  90 0.895 0.08 0.000553492
  91 0.905 6.12 0.0388925
  92 0.915 5.67 0.0357791
  93 0.925 2.45 0.0155536
  94 0.935 0.86 0.00562232
  95 0.945 2.82 0.0177858
  96 0.955 1 0.00638395
  97 0.965 1.97 0.0128191
  98 0.975 11.2 0.0703308
  99 0.985 5.93 0.037302
  100 0.995 3.9 0.0254131
8000 100 7049.999999999999
  1 0.005 2.4 0.0152766
  2 0.015 1.23 0.00761303
  3 0.025 0.67 0.00442852
  4 0.035 2.84 0.0179241
  5 0.045 1.45 0.00929036
  6 0.055 4.47 0.0282184
  7 0.065 5.17 0.03282
  8 0.075 6.08 0.0384777
  9 0.085 3.89 0.0248782
  10 0.095 3.16 0.0200174
  11 0.105 2.65 0.0166786
  12 0.115 0.35 0.00233529
  13 0.125 2.78 0.0175953
  14 0.135 1.43 0.00877253
  15 0.145 2.15 0.0142024
  16 0.155 2.42 0.0150873
  17 0.165 0 0
  18 0.175 0 0
  19 0.185 0.17 0.00117617
  20 0.195 2.21 0.0140656
  21 0.205 2.34 0.0146373
  22 0.215 3.2 0.0202596
  23 0.225 1.18 0.00764656
  24 0.235 3.8 0.0243591
  25 0.245 2.1 0.0130113
  26 0.255 0.9 0.00579558
  27 0.265 2.14 0.0135123
  28 0.275 1.05 0.00648841
  29 0.285 1.82 0.0116433
  30 0.295 3.15 0.0203449
  31 0.305 25.61 0.164181
  32 0.315 101.03 0.640657
  33 0.325 188.65 1.19412
  34 0.335 183.03 1.1615
  35 0.345 204.37 1.29797
  36 0.355 184.96 1.17344
  37 0.365 209.69 1.32907
  38 0.375 192.02 1.22132
  39 0.385 192.54 1.21783
  40 0.395 205.43 1.3023
  41 0.405 184.19 1.16646
  42 0.415 177.16 1.12613
  43 0.425 194.82 1.23435
  44 0.435 176.08 1.12235
  45 0.445 194.68 1.23077
  46 0.455 180.88 1.15308
  47 0.465 169.41 1.07058
  48 0.475 168.73 1.07116
  49 0.485 163.78 1.03574
  50 0.495 167.64 1.06722
  51 0.505 169.7 1.07369
  52 0.515 166.04 1.05653
  53 0.525 178.58 1.12816
  54 0.535 176.87 1.1232
  55 0.545 173.81 1.10604
  56 0.555 176.47 1.12084
  57 0.565 188.4 1.19367
  58 0.575 190.64 1.20603
  59 0.585 181.02 1.15003
  60 0.595 196.13 1.2413
  61 0.605 193.42 1.22723
  62 0.615 190.6 1.2107
  63 0.625 200.74 1.27203
  64 0.635 186.87 1.18802
  65 0.645 213.56 1.35362
  66 0.655 205.61 1.30312
  67 0.665 195.1 1.23854
  68 0.675 171.25 1.08693
  69 0.685 85.78 0.543548
  70 0.695 6.65 0.0435425
  71 0.705 0 0
  72 0.715 0 0
  73 0.725 0.87 0.00548453
  74 0.735 2.13 0.0135466
  75 0.745 2.33 0.0145854
  76 0.755 0.67 0.00444576
  77 0.765 0 0
  78 0.775 1.15 0.00749074
  79 0.785 4.7 0.0295337
  80 0.795 1.44 0.00932467
  81 0.805 4.89 0.0307792
  82 0.815 2.82 0.0180272
  83 0.825 0 0
  84 0.835 0 0
  85 0.845 0 0
  86 0.855 0 0
  87 0.865 5.12 0.0316806
  88 0.875 2.61 0.017385
  89 0.885 0.99 0.00617678
  90 0.895 0.28 0.00185098
  91 0.905 5.4 0.0345837
  92 0.915 4.03 0.0253639
  93 0.925 2.65 0.0167303
  94 0.935 3.43 0.0216612
  95 0.945 4.97 0.031488
  96 0.955 0.52 0.00339072
  97 0.965 0 0
  98 0.975 6.84 0.0436669
  99 0.985 10.91 0.0687901
  100 0.995 2.11 0.0135807
9000 100 7050.000000000001
  1 0.005 1.67 0.0106572
  2 0.015 1.64 0.0103117
  3 0.025 0.07 0.000484306
  4 0.035 2.54 0.0158485
  5 0.045 0.46 0.00318258
  6 0.055 4.25 0.0269722
  7 0.065 3.97 0.0251385
  8 0.075 9.97 0.0633042
  9 0.085 5.53 0.0348967
  10 0.095 0.28 0.00193722
  11 0.105 1.55 0.00994773
  12 0.115 2.88 0.0180456
  13 0.125 1.57 0.0100689
  14 0.135 1.2 0.00794017
  15 0.145 4.36 0.0270951
  16 0.155 0.44 0.00302696
  17 0.165 0 0
  18 0.175 0.05 0.000311436
  19 0.185 2.32 0.0146197
  20 0.195 0.63 0.00410002
  21 0.205 0.27 0.00186804
  22 0.215 2.64 0.0165404
  23 0.225 2.01 0.0130613
  24 0.235 6.62 0.0416101
  25 0.245 0.46 0.00304459
  26 0.255 0 0
  27 0.265 0.75 0.00468879
  28 0.275 2.1 0.0133045
  29 0.285 1.91 0.0125247
  30 0.295 7.09 0.0465177
  31 0.305 60.41 0.386391
  32 0.315 148.17 0.936342
  33 0.325 180.77 1.14588
  34 0.335 194.86 1.23381
  35 0.345 197 1.24889
  36 0.355 188.25 1.20041
  37 0.365 191.99 1.21485
  38 0.375 201.67 1.2761
  39 0.385 181.55 1.15333
  40 0.395 191.27 1.21304
  41 0.405 192.14 1.2187
  42 0.415 170.35 1.087
  43 0.425 190.44 1.2002
  44 0.435 170.36 1.08261
  45 0.445 177.33 1.12621
  46 0.455 182.61 1.15796
  47 0.465 161.25 1.02251
