# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
311000 216.418 108.592 4547.31 -5475.14 -927.821 -6160.94 -7088.76
312000 218.359 -199.103 4588.1 -5423.78 -835.686 -6252.87 -7088.56
313000 219.358 -104.993 4609.09 -5496.2 -887.117 -6201.3 -7088.42
314000 222.32 -42.9419 4671.33 -5542.27 -870.942 -6217.77 -7088.71
315000 225.799 101.562 4744.42 -5473.7 -729.275 -6359.31 -7088.59
316000 219.142 125.893 4604.56 -5434.55 -829.99 -6257.93 -7087.92
317000 222.57 -1.50943 4676.58 -5432.17 -755.584 -6332.54 -7088.13
318000 221.283 -21.3506 4649.53 -5469.06 -819.528 -6268.98 -7088.51
319000 223.625 18.1797 4698.75 -5521.24 -822.486 -6265.83 -7088.32
320000 220.679 17.8223 4636.84 -5445.16 -808.322 -6279.69 -7088.01
321000 217.365 243.572 4567.21 -5492.52 -925.309 -6162.62 -7087.92
322000 217.372 107.948 4567.36 -5465.18 -897.821 -6190.13 -7087.95
323000 218.875 -58.5261 4598.94 -5533.68 -934.749 -6153.47 -7088.22
324000 222.927 -179.687 4684.09 -5498.45 -814.365 -6273.69 -7088.06
325000 217.157 -82.7478 4562.85 -5440.44 -877.593 -6210.25 -7087.84
326000 217.075 35.152 4561.12 -5464.99 -903.867 -6183.95 -7087.82
327000 219.456 -114.159 4611.14 -5474.83 -863.686 -6224.31 -7087.99
328000 223.847 -164.833 4703.42 -5415.04 -711.618 -6376.55 -7088.17
329000 222.997 -98.0199 4685.54 -5476.56 -791.012 -6297.22 -7088.23
330000 219.746 -55.9219 4617.24 -5434.56 -817.322 -6270.85 -7088.17
331000 222.436 267.038 4673.77 -5410.76 -736.986 -6350.69 -7087.68
332000 218.106 -71.1143 4582.79 -5555.22 -972.431 -6115.79 -7088.22
333000 220.491 -243.895 4632.91 -5586.77 -953.864 -6134.66 -7088.52
334000 218.281 33.0239 4586.45 -5433.86 -847.405 -6240.9 -7088.3
335000 220.909 -420.979 4641.67 -5513.62 -871.95 -6216.13 -7088.08
336000 221.542 -165.128 4654.99 -5433.81 -778.819 -6308.98 -7087.8
337000 219.602 121.291 4614.22 -5455.7 -841.485 -6246.69 -7088.18
