# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  82 0.815 1.64 0.0102427
  83 0.825 1.36 0.00878842
  84 0.835 0.93 0.00619287
  85 0.845 2.4 0.0149662
  86 0.855 1.81 0.0115051
  87 0.865 0.86 0.00539809
  88 0.875 0 0
  89 0.885 0.83 0.00524228
  90 0.895 2.98 0.0188927
  91 0.905 3.03 0.0191007
  92 0.915 3.44 0.0227135
  93 0.925 6.06 0.0377184
  94 0.935 2.35 0.0149652
  95 0.945 3.75 0.0235474
  96 0.955 1.56 0.0100687
  97 0.965 0 0
  98 0.975 2.22 0.0139968
  99 0.985 0.78 0.00503433
  100 0.995 0.12 0.000830238
9000 100 7050.000000000001
  1 0.005 1.84 0.0116609
  2 0.015 4.69 0.029982
  3 0.025 4.53 0.0286162
  4 0.035 4.08 0.0259341
  5 0.045 4.32 0.0271288
  6 0.055 1.98 0.0130262
  7 0.065 7.44 0.0468867
  8 0.075 5.38 0.0339969
  9 0.085 2.45 0.0156398
  10 0.095 2.53 0.0160036
  11 0.105 1.64 0.0102772
  12 0.115 3.67 0.0235631
  13 0.125 2.14 0.0133915
  14 0.135 0 0
  15 0.145 0.09 0.000622679
  16 0.155 4.37 0.0271815
  17 0.165 1.54 0.010258
  18 0.175 0.97 0.00626263
  19 0.185 2.03 0.0127685
  20 0.195 2.58 0.0161253
  21 0.205 2.03 0.01301
  22 0.215 4.55 0.0289616
  23 0.225 2.84 0.0180276
  24 0.235 0 0
  25 0.245 1.44 0.00915218
  26 0.255 1.78 0.011401
  27 0.265 2.72 0.0170939
  28 0.275 0.95 0.00657272
  29 0.285 5.16 0.032561
  30 0.295 3.4 0.0214881
  31 0.305 59.35 0.376591
  32 0.315 131.97 0.837989
  33 0.325 187.82 1.18952
  34 0.335 190.54 1.20637
  35 0.345 196.11 1.24874
  36 0.355 206.49 1.30579
  37 0.365 193.05 1.22457
  38 0.375 181.94 1.16098
  39 0.385 198.02 1.2554
  40 0.395 184.13 1.16358
